smiles,smilesid,docking_score
Cc1cc(C(=O)N2CCCN(C(=O)C3CC3(F)F)C(C(C)C)C2)c(C)cn1,S1,-9.61075
CCC(F)(F)C(C)(C)CNC(C)(CCO)COC,S17,-2.75445
CN1CC(CCN2C[C@H]3C[C@@H]2[C@H]3C(F)(F)F)C1,S18,-6.37729
CCN(CCS(C)(=O)=O)C(=O)c1cncc2cc(Cl)ccc12,S19,-7.57598
C=C(Cl)CCCN1CCC(c2cccnn2)CC1,S20,-6.81795
COC(=O)[C@]1(O)CN(c2nc(-c3ccc(Cl)c(Cl)c3)ns2)C[C@H]1O,S3,-8.32088
COc1noc(C)c1NC(=O)NCc1c[nH]c2cc(Cl)ccc12,S15,-9.04791
C[C@@H](C(=O)N[C@@H]1C[C@H]2CC[C@@H]1[C@@H](N)C2)C(C)(C)O,S21,-4.56564
CN(CC1CCCS1(=O)=O)S(=O)(=O)c1c(Cl)nc2ccccn12,S24,-6.75095
C[C@H]1C[C@]1(F)C(=O)NC[C@H]1CC[C@H](NC(=O)c2c[nH]c3ncncc23)CC1,S23,-9.09377
CC(C)(C)c1cc(=O)n(CC(O)C2(O)COC2)cn1,S10,-8.05124
Cc1cnc(C(=O)NC(C)Cn2ccnc2)cc1C#N,S6,-8.56435
NS(=O)(=O)c1cc(F)cc(-c2ncc(C(F)(F)F)cc2Cl)c1,S2,-8.96235
Cc1cc(C(C)N2CCN(c3c(C#N)cnc4ccccc34)CC2)on1,S12,-9.06912
CCC1CCCCC1C(=O)N1CCN(C(=O)Cn2cccc2)CC(C)(C)C1,S11,-8.7504
CCC(CC(=O)N1CC[C@@H](NC(=O)c2cc3ccccc3s2)[C@H](F)C1)OC,S5,-9.40005
CN(C(=O)c1cc(Cl)ns1)C1CN(C(=O)CN2CCS(=O)CC2)C1,S25,-9.2054
CCC(CCC(=O)NCC1CN(C(C)=O)C1)OC,S26,-4.57378
CC[C@H]1CC[C@H](C(=O)NC2CN(C(=O)C(C)c3ccn[nH]3)CCC2(C)C)CC1,S13,-8.46657
CCCc1cnc(NC(=O)C2(C3CCC3)CC2(F)F)s1,S9,-7.44124
CSc1ncc(C(=O)N2C[C@H](F)[C@H](NC(=O)c3ncccc3Cl)C2)n1C,S14,-8.93236
CC(C)Oc1ncc(CNC(=O)[C@H]2CCC[C@@H](C(=O)OC(C)(C)C)C2)cn1,S7,-7.92002
C[C@H](CNC(=O)c1ccc(-n2ccnc2)nn1)NC(=O)C1CC12CC(F)(F)C2,S22,-9.19361
CN(CCNC(=O)C1(CO)CC1(F)F)C(=O)C1CCCC2(CCCCC2)C1,S8,-9.32271
CC(C)(O)C(=O)NC1CN(C(=O)Cc2cccc(C(C)(C)C)c2)CC2(CCC2)C1,S16,-10.0194
Cc1cc(C)cc(C(CO)NC(=O)Nc2ccc3[nH]c(=O)c(C)cc3c2)c1,S27,-8.17073
CCSc1ccc(NC(=O)N2CCCCC2C2(O)COC2)cc1Cl,S33,-9.01776
C[C@H](CNC(=O)c1cc(C#N)no1)NC(=O)c1ccc(-c2ccccc2F)s1,S34,-9.9415
N#Cc1ncc(CN(C2CC2)C2CCS(=O)(=O)C2)s1,S35,-7.17618
CCOC(=O)C(F)(F)C1CCN(C(=O)c2n[nH]c3ccc(F)cc23)C1,S30,-9.06861
COCC1(C)CC1C(=O)N1CCC2(CN(C(=O)c3cnc(C)n3C(F)F)C2)C1,S31,-7.54398
COC(=O)CN(C(=O)c1nocc1Br)C(C)c1ccc(OC)cc1,S37,-7.39458
CCC(C)CC(=O)Nc1ccc(NC(=O)C2COCC2(C)C)cc1C,S28,-8.48384
CC1(NC(=O)CC2CC(C)(C)OC2=O)CN(C(=O)c2c(F)cccc2C2CC2)C1,S29,-8.65458
C[C@H]1CCC[C@@H](CC(=O)N2CC(CNC(=O)c3cnc(O)c4c3NCCC4)C2)O1,S41,-8.08366
CCC(CC(=O)Nc1ccc(C(N)=O)cc1OC(C)C)CC(F)(F)F,S32,-8.77764
CC(=O)NCC1(C)CN(C(=O)CCc2ccc3cnn(C)c3c2)C(C)(C)C1,S43,-10.3531
COC(=O)[C@]1(C)CC[C@H](NCc2ccc(OC(F)F)c(F)c2)C1(C)C,S44,-9.28292
CCn1c(C(=O)NC2CC3(CCC3)C2OCc2ccccc2)cnc1O,S42,-8.53765
Cc1sc(-n2cnnn2)c(C(=O)N2CCN(C)C(C3COC3)C2)c1C,S46,-6.67463
COC(=O)[C@H]1[C@H](C(=O)N2CCN(C(=O)CC(C)N3CCCC3=O)CC2)C1(F)F,S45,-9.46874
CCC(=O)N1CCC(C(F)(F)F)C(NC(=O)CCc2cnc3ncccn23)C1,S39,-8.84116
COC(=O)CC(C)(C)C(=O)N1CCC(F)(CNC(=O)C23CC(C)(C2)OC3C)C1,S47,-8.12726
CC(=O)NCC1(C(N)=O)CN(C(=O)C2CCC(O)(c3ccccc3)C2)C1,S40,-9.13237
Cc1c(C(=O)NCC2CCCN2C(=O)[C@@H](O)c2ccco2)sc2ccccc12,S36,-9.93375
Cc1ncc2ccc(C(=O)NC[C@H]3C[C@@H]3CNC(=O)c3ccncc3O)cn12,S48,-8.65295
COc1cc(C(=O)N(C)[C@@H]2CN(C(=O)Cc3cn[nH]c3)C[C@H]2O)cc(C2CC2)c1,S38,-9.34376
C[C@H]1[C@H](CNC(=O)NCc2cc(C(C)(C)C)[nH]n2)C1(F)F,S53,-7.87385
CSc1ccsc1C(=O)N(C)CCN(C)C(=O)c1nnccc1C,S51,-7.87727
O=C(CC1CCC2(CC1)COC2)NCC1(O)CN(C(=O)C(F)C(F)(F)F)C1,S54,-6.81803
CCN(Cc1cc(COC)no1)Cc1nccn1C,S55,-6.57769
Cc1nnsc1CN1CCOC2(CCN(C)C2)C1,S56,-6.92263
O=C(Cn1cc(C(=O)OCC2CC(C3CC3)=NO2)cn1)NC1CCCC1,S50,-8.25796
O=C(CC12CCC1CNC2)NCc1noc(C2CC2)n1,S49,-7.1565
O=C(NCCc1cn(-c2ccccc2)nn1)N1CCC(n2cc[nH]c2=O)CC1,S57,-9.7945
CN1C(=O)C2CC1CCN2Cc1cc2scc(Br)c2[nH]1,S64,-7.71338
COC(=O)CS(=O)(=O)c1ccc(NC(=O)c2ccc(C)c3c2CCC3)cc1,S59,-8.71563
CN(C)CC(C)(C)CC(=O)OCc1ccccc1S(N)(=O)=O,S66,-8.06232
O=C(Nc1c(F)cncc1Cl)c1cn(C(F)(F)F)cn1,S58,-7.75332
CN1CCN(C)C2(CCN(c3ccc(C(=O)N4CCNCC4)cn3)CC2)C1,S52,-7.95135
N#CC(C(=O)N1CCC(C(O)C2CCN(C(=O)c3cc[nH]n3)CC2)CC1)C1CC1,S62,-9.33273
CC(C)[C@@H]1C[C@H]1C(=O)N1CC(NC(=O)C2CCN(S(=O)(=O)N(C)C)C2)C1,S67,-6.63508
OCC1CCNCCC1NCc1ccn(-c2ccc(Br)cc2)n1,S61,-9.22932
Fc1cccc(OC(F)(F)F)c1CNCC(F)(F)C1CCOCC1,S63,-8.26551
CC(C)Cn1cc([C@@H]2C[C@H]2C(=O)N[C@H]2CCC[C@](O)(c3nccn3C)C2)cn1,S65,-8.29916
CCN1CCC(C(=O)N[C@H]2C[C@@H]3C[C@H](NC(=O)c4nn(C)cc4Cl)[C@@H]3C2)C1,S60,-8.6595
COc1nc(Cl)nc(OC)c1NC(=O)C1CCC(Oc2ccccc2)CC1,S68,-7.62474
CC(Oc1ccc(Cl)cc1CO)C(=O)NCC1(S(C)=O)CC1,S72,-9.08939
O=C(NC1CC2COCC(C1)C2(F)F)C1CNC=C(Br)C1,S73,-7.67685
O=C(c1ccc(F)cc1)C1CCN(C(=O)CN2CCC(O)CC2)CC1,S75,-9.44299
CC(C)OC1(CN(C)Cc2cn(CC3CNC(=O)O3)nn2)CCOC1,S71,-8.42557
CO[C@H]1CN(c2nc3ccc(C)cc3o2)CC[C@]1(OC)c1ccccc1,S74,-6.73991
CCCCC(=O)N[C@H]1C[C@@H](CO)N(C(=O)c2coc3c(F)cc(Cl)cc23)C1,S69,-8.89927
Cc1sc(=O)n(CC(=O)N2CCN(C(=O)CCC(C)C#N)C[C@@H]2C)c1C,S70,-9.56983
COCCC(CSc1nc2nccc(C)c2[nH]1)C(=O)OC,S77,-7.53787
COC(=O)C1(CN(C)CCOc2cccc(F)c2)CCCO1,S78,-7.4322
O=C(NCC(F)F)[C@@H]1CCCCN1S(=O)(=O)c1cc(C2CC2)no1,S76,-6.42296
Cc1nnsc1C(=O)CN1CC(C)(C)OC[C@H]1C,S79,-6.66324
CN(C(=O)C1(Cc2ccc(F)cc2)CCCC1)C1COC(C)(C)C1,S4,-8.25632
CN1CCOC(C(=O)N2C3CCCC2CN(C(=O)CCC2(C)CC2)CC3)C1,S81,-7.56877
Cc1nc2cc(C(=O)N(C)Cc3nc4c(cnn4C)c(=O)[nH]3)cc(O)c2o1,S84,-9.02879
NCc1cc(O)nc(CNC(=O)Cc2c(F)cccc2OC(F)(F)F)n1,S83,-8.18571
CC(C)(C)OC(=O)NN1CCC[C@@H]1C(=O)N1C[C@H]2COC[C@@]2(CO)C1,S80,-6.37225
O=C(c1ccnc(C2COCCN2)n1)N(CCO)c1cccc(F)c1,S86,-7.49187
CC[C@@H]1OCC[C@H]1NC1C[C@H]2CN(Cc3ccccc3)C[C@@H]2C1,S88,-7.5482
Cc1ccc(C)c(CNC(=O)c2cc(C)nc(C(F)F)n2)c1,S87,-9.40222
Nc1nccc2cc(/C=C/C3CCOCC3)ccc12,S89,-7.62857
Cc1ncnc(C)c1OCC(=O)N1CC[C@H](NC(=O)c2cn[nH]c2C2CCC2)C1,S85,-8.5157
CC(C)c1[nH]ccc1C(=O)O[C@H]1COC[C@H]1F,S94,-5.84994
CC(CCc1ccc(O)cc1)N(C)Cc1nc2c(c(=O)[nH]1)COCC2,S91,-9.05148
Cc1cc(NC(=O)C2Cc3nn(C)cc3C(=O)N2)nc(C(C)C)n1,S82,-8.833
O=C(C(F)CC1CNC1)N1CCNCC12CC2,S96,-7.28259
CC1(CCNC(=O)OCc2ccccc2)CN(C(=O)C23CCCN2CC(O)C3)C1,S92,-8.98498
CC(C)(O)C(F)C(=O)N1C[C@H]2CN(C(=O)c3ocnc3C3CC3)CC[C@H]21,S93,-7.42194
COC1(C(F)(F)F)CC(N)(CNc2nc(C(C)C)no2)C1,S100,-6.85936
Cc1nnc(N2C[C@H](C)CC[C@H]2CO)nc1C,S98,-7.30399
COC(=O)c1ccc(CC(=O)NCC2CCN(C(=O)[C@@H]3CCCO3)CC2)c(C)c1,S97,-8.75509
FC1(F)CC1c1ccc(NCC2CCC3(CC2)OCCO3)cc1,S99,-9.11767
O=C(c1cc(C2CC2)[nH]c(=O)c1)N1CC(O)(c2cccc(C(F)(F)F)c2)C1,S101,-6.54879
Cc1cc(C(=O)OCc2ccns2)cc(C(F)F)c1,S103,-8.29549
Cc1ccc(CN[C@H]2C[C@H](CC#N)C2)c(Cl)c1,S90,-7.37879
CC(NC(C)(C)C)C(=O)N1CC(C2CCCN(C(=O)C3(n4cccn4)CC3)C2)C1,S95,-8.07501
COc1nccc(C)c1CNC(=O)N1CCCC1(C)Cc1ccc(F)c(F)c1,S102,-9.18812
CN1C[C@H]2C[C@H](C(F)(F)F)[C@H]2C1,S107,-6.31382
CCc1cnc(CNCc2cnc(C)nc2O)nc1,S105,-6.80495
CCSC(C)c1noc(CN2CC[C@H]3CC[C@]32c2nnc(C)o2)n1,S104,-5.99406
COC(=O)[C@H]1[C@H](CNC(=O)C(C)NC(=O)CC(C)(C)C)C1(F)F,S108,-6.95926
CC(C(=O)N1C[C@H]2CC[C@@H]1[C@@H]2NC(=O)CCC(=O)N(C)C)N1CCSCC1,S106,-6.70509
O=C(NCCc1noc(-c2ccccn2)n1)C(F)(F)CCn1cccn1,S111,-8.0798
COCCN(C(=O)C1CCS(=O)(=O)C12CN(C(C)=O)C2)C(C)C1CC1,S113,-4.6699
Nc1ncc(CC(=O)NCc2nccc3cc(Br)ccc23)c(O)n1,S112,-9.05129
CSC[C@@H]1C[C@@H]2CCC[C@@H]2N1C(=O)N[C@H]1CN(C)C[C@@H]1c1cncn1C,S109,-8.54385
Cc1nc(C2CCC2)oc1C(=O)N[C@H]1C[C@H]2C[C@@H](NC(=O)C(C)C#N)[C@@H]1C2,S110,-4.29828
COc1cc(C)c(CC(=O)N[C@H]2CCN(C(=O)Cc3cnoc3)C[C@@H]2O)c(C)c1,S115,-10.0314
CN(C1CCN(CC2(C)CS(=O)(=O)C2)CC1)S(C)(=O)=O,S120,-5.45248
C[C@H]1CN(C(=O)CC2CCCN(C)C2)C[C@H]1NC(=O)C(F)(F)c1cccnc1,S118,-8.62649
Cc1ccc(CCC(=O)N2CC(NC(=O)CS(=O)C(F)(F)F)C2)s1,S119,-7.59092
O=S1(=O)C[C@@H]2C[C@H]1CN2Cc1ccccc1Cc1ccc(Cl)cc1,S116,-8.70848
CCNc1nccnc1N1CCC2(CC1)OCCC2C#N,S114,-8.08888
Nc1nc(N[C@H]2C[C@H](c3cccc(Br)c3)C2)cc(-n2cccn2)n1,S117,-9.47002
